"","Var1","Freq"
"1","Alexander Isak",11
"2","Anthony Gordon",4
"3","Ben Chilwell",1
"4","Bruno Borges Fernandes",2
"5","Bukayo Saka",44
"6","Cody Gakpo",1
"7","Cole Palmer",25
"8","Darwin Núñez Ribeiro",3
"9","Diogo Teixeira da Silva",3
"10","Dominic Solanke",15
"11","Douglas Luiz Soares de Paulo",1
"12","Eddie Nketiah",6
"13","Erling Haaland",380
"14","Ivan Toney",3
"15","James Maddison",4
"16","Jarrod Bowen",4
"17","Jordan Beyer",1
"18","Julián Álvarez",36
"19","Kevin De Bruyne",8
"20","Kieran Trippier",2
"21","Luis Díaz",3
"22","Martin Ødegaard",2
"23","Michael Olise",1
"24","Mohamed Salah",146
"25","Norberto Murara Neto",1
"26","Ollie Watkins",54
"27","Pedro Lomba Neto",1
"28","Phil Foden",17
"29","Raheem Sterling",1
"30","Son Heung-min",50
"31","Trent Alexander-Arnold",4
"32","Virgil van Dijk",2
